iter	RMSE
0	2705006.967
1	2562708.361
2	2428853.523
3	2301607.51
4	2183252.858
5	2069464.672
6	1958660.122
7	1854621.008
8	1755472.643
9	1662244.301
10	1576945.406
11	1493755.133
12	1415499.661
13	1341330.337
14	1271845.332
15	1207565.401
16	1142101.389
17	1082189.279
18	1027193.204
19	972092.1786
20	920036.968
21	871474.2783
22	828409.0411
23	783858.642
24	741676.2576
25	702688.6836
26	665680.9797
27	630996.6116
28	598206.4632
29	568734.1684
30	538220.2013
31	512003.0178
32	485088.6649
33	460631.161
34	437214.2272
35	415520.5975
36	394471.1983
37	374783.9231
38	355560.2472
39	338508.791
40	321379.1269
41	305564.1302
42	290097.2607
43	275848.1844
44	261769.7541
45	248944.174
46	236860.1217
47	225078.0232
48	213747.4614
49	203306.2326
50	193592.6385
51	185058.2041
52	176186.9083
53	167767.2825
54	160068.5567
55	152728.7875
56	145797.9678
57	139093.8166
58	133006.737
59	127256.5331
60	121956.4915
61	116893.9062
62	112060.5326
63	107713.0207
64	103516.2891
65	99874.96471
66	96244.04525
67	92808.47938
68	89360.26067
69	86258.85793
70	83443.41268
71	80856.99956
72	78377.85734
73	76042.68874
74	74031.46266
75	72114.28638
76	70336.83081
77	68556.19731
78	66885.37437
79	65401.7553
80	64010.41999
81	62847.52406
82	61711.45704
83	60640.9384
84	59613.02319
85	58771.30185
86	57910.10708
87	57171.56657
88	56488.88933
89	55675.64059
90	54869.75271
91	54355.43467
92	53922.68198
93	53494.20639
94	52889.50745
95	52538.09422
96	51898.21822
97	51400.88279
98	50886.01202
99	50319.03452
100	49857.55649
101	49415.41966
102	49043.81949
103	48554.69047
104	48122.66792
105	47820.13793
106	47506.00573
107	47359.94761
108	46967.66019
109	46710.14767
110	46397.75486
111	46092.16364
112	45956.50193
113	45849.37519
114	45599.45777
115	45317.43221
116	45091.5073
117	44906.57138
118	44593.27456
119	44403.2177
120	44197.55654
121	44051.47895
122	43825.18585
123	43489.25508
124	43233.01141
125	43131.4992
126	42893.82564
127	42721.85429
128	42569.58213
129	42404.81621
130	42269.0978
131	42113.45939
132	42081.46809
133	41930.98814
134	41893.49612
135	41729.49258
136	41693.5626
137	41472.35692
138	41225.74686
139	41198.65844
140	40924.7178
141	40749.01401
142	40720.766
143	40694.81692
144	40598.99763
145	40365.19483
146	40315.58364
147	40130.97174
148	39979.27774
149	39772.47555
150	39743.11537
151	39581.41055
152	39494.71943
153	39471.02658
154	39342.96587
155	39166.96327
156	39074.83121
157	38981.05325
158	38835.16951
159	38708.08682
160	38691.96305
161	38579.27984
162	38494.25377
163	38335.38523
164	38242.64481
165	38161.22305
166	37959.3611
167	37835.73643
168	37640.29296
169	37482.91545
170	37380.48656
171	37273.35955
172	37075.32622
173	36921.76024
174	36741.39771
175	36573.34834
176	36512.33797
177	36429.08159
178	36274.30133
179	36147.06548
180	36082.07811
181	35983.91897
182	35821.37903
183	35668.72716
184	35616.81403
185	35485.95398
186	35435.15758
187	35338.64122
188	35288.62714
189	35134.63754
190	35001.99542
191	34874.44908
192	34756.43926
193	34711.72124
194	34611.85755
195	34505.07587
196	34463.34782
197	34338.2847
198	34266.35866
199	34195.08525
200	34159.68634
201	34093.66147
202	34061.61985
203	33966.36056
204	33802.41854
205	33694.61245
206	33569.18286
207	33521.92627
208	33403.51188
209	33374.17887
210	33262.65459
211	33234.55392
212	33111.3711
213	33083.92013
214	32893.18442
215	32840.05244
216	32697.8665
217	32586.57169
218	32502.25909
219	32401.92996
220	32308.46085
221	32177.87065
222	32132.69449
223	32029.3165
224	31943.97273
225	31819.2747
226	31703.90747
227	31679.3419
228	31574.72172
229	31473.40993
230	31444.26914
231	31331.5997
232	31232.21101
233	31142.03313
234	31075.70229
235	31048.57812
236	30971.43298
237	30886.44788
238	30803.15398
239	30711.92816
240	30627.10892
241	30554.51979
242	30462.58107
243	30437.29399
244	30370.22108
245	30345.65741
246	30282.84851
247	30189.38207
248	30170.18115
249	30100.36879
250	30083.72184
251	30043.38163
252	29982.74597
253	29903.46986
254	29818.96064
255	29765.87213
256	29689.51446
257	29650.83641
258	29579.93317
259	29502.63346
260	29472.70921
261	29430.67701
262	29345.45402
263	29282.60862
264	29235.76535
265	29166.62902
266	29146.19589
267	29110.57249
268	29059.2513
269	28962.12199
270	28928.27498
271	28849.68181
272	28773.59588
273	28705.36102
274	28641.70893
275	28603.88437
276	28559.00651
277	28522.75392
278	28508.46431
279	28437.17
280	28362.8785
281	28335.85868
282	28298.9111
283	28255.35448
284	28236.9052
285	28170.23731
286	28134.65999
287	28093.41494
288	28040.50343
289	28002.32501
290	27987.34131
291	27963.53601
292	27925.91658
293	27864.50167
294	27851.11729
295	27806.68399
296	27759.89553
297	27661.4862
298	27574.95072
299	27522.73719
300	27479.03599
301	27453.74404
302	27407.16811
303	27372.36873
304	27311.48414
305	27270.37943
306	27252.90957
307	27197.34743
308	27172.3831
309	27146.65969
310	27114.58094
311	27080.70181
312	26997.88497
313	26916.9645
314	26846.02777
315	26799.37161
316	26781.48352
317	26737.98911
318	26694.14354
319	26659.36865
320	26583.81857
321	26531.3525
322	26497.02862
323	26462.2398
324	26422.76985
325	26382.6789
326	26334.17133
327	26304.02945
328	26255.79261
329	26244.85666
330	26206.58566
331	26150.94798
332	26130.55725
333	26083.32958
334	26052.58273
335	26013.98445
336	25985.31391
337	25965.84785
338	25950.31431
339	25925.88181
340	25893.30538
341	25850.25037
342	25834.08994
343	25782.0078
344	25758.60621
345	25713.5957
346	25680.45989
347	25667.7383
348	25632.68728
349	25603.27946
350	25577.60383
351	25557.08476
352	25514.49937
353	25448.5657
354	25416.39564
355	25403.85914
356	25375.39912
357	25347.71464
358	25325.01336
359	25276.6004
360	25250.34461
361	25195.9528
362	25121.46438
363	25089.31411
364	25052.55843
365	25014.39996
366	24947.51801
367	24913.52896
368	24894.91892
369	24848.42534
370	24827.42657
371	24780.19303
372	24743.65858
373	24725.9479
374	24691.2024
375	24665.56125
376	24598.44892
377	24540.43482
378	24515.14062
379	24473.36315
380	24401.79427
381	24389.56879
382	24349.0859
383	24320.20473
384	24288.51387
385	24259.8635
386	24220.45223
387	24195.56189
388	24171.51577
389	24149.39652
390	24095.34182
391	24083.58385
392	24065.41217
393	24034.12819
394	24010.091
395	23994.18949
396	23971.96773
397	23950.13064
398	23934.8802
399	23906.85709
400	23839.22324
401	23819.94918
402	23777.8171
403	23753.76987
404	23702.2705
405	23681.6197
406	23648.95386
407	23610.54814
408	23590.52776
409	23568.47263
410	23546.2378
411	23528.17654
412	23510.2948
413	23480.30719
414	23457.62465
415	23444.59501
416	23401.77473
417	23372.31692
418	23351.30596
419	23316.41284
420	23278.32128
421	23258.9111
422	23226.50494
423	23197.73853
424	23144.82635
425	23125.86074
426	23072.88387
427	23033.43117
428	23021.60759
429	22990.67098
430	22951.20071
431	22925.04527
432	22913.64376
433	22870.2979
434	22821.61034
435	22805.61214
436	22770.19903
437	22757.21091
438	22735.43918
439	22724.284
440	22692.07086
441	22668.35056
442	22647.6296
443	22637.67575
444	22620.69937
445	22608.50489
446	22583.70303
447	22554.34643
448	22520.86198
449	22489.55146
450	22472.76097
451	22459.53632
452	22442.16854
453	22400.2328
454	22363.28876
455	22333.84592
456	22314.23346
457	22300.06298
458	22274.25725
459	22248.66652
460	22234.13989
461	22195.32518
462	22172.48364
463	22142.1653
464	22121.3046
465	22103.96354
466	22092.33698
467	22065.13807
468	22054.73473
469	22028.09819
470	22014.03005
471	22001.89983
472	21966.66903
473	21952.27147
474	21928.25356
475	21905.67859
476	21895.01082
477	21881.01495
478	21861.47894
479	21849.52714
480	21816.40277
481	21800.36639
482	21746.85989
483	21711.59765
484	21695.47333
485	21678.24339
486	21655.43448
487	21635.92848
488	21587.00524
489	21568.03937
490	21545.95177
491	21515.69088
492	21503.80429
493	21493.2735
494	21466.6874
495	21452.86176
496	21441.72607
497	21414.80035
498	21399.51584
499	21386.69638
500	21352.81935
501	21315.70832
502	21303.98688
503	21275.65024
504	21246.85937
505	21233.76716
506	21207.87895
507	21158.00515
508	21149.36579
509	21132.50106
510	21123.36062
511	21092.76242
512	21064.39174
513	21027.38265
514	21008.73726
515	20998.36731
516	20983.75401
517	20947.28632
518	20933.87437
519	20925.00678
520	20914.86261
521	20880.45049
522	20854.08972
523	20808.90655
524	20792.40242
525	20780.3228
526	20773.21033
527	20743.31063
528	20706.29149
529	20689.27048
530	20655.64395
531	20638.11158
532	20606.57445
533	20576.92552
534	20558.45452
535	20528.6189
536	20516.23472
537	20504.77632
538	20494.9876
539	20484.03452
540	20456.67612
541	20435.01584
542	20412.94646
543	20405.11355
544	20395.50251
545	20384.09304
546	20355.56963
547	20345.77979
548	20335.06526
549	20324.62941
550	20303.93631
551	20278.11533
552	20263.2909
553	20225.06644
554	20193.0013
555	20183.85166
556	20166.20646
557	20151.65856
558	20139.80051
559	20108.2549
560	20092.8058
