iter	Passed	Remaining
0	3	3468
1	6	3023
2	8	2889
3	12	3227
4	15	3062
5	17	2955
6	20	2854
7	22	2785
8	24	2752
9	28	2776
10	30	2755
11	33	2757
12	36	2758
13	39	2762
14	42	2809
15	45	2816
16	48	2815
17	51	2797
18	53	2769
19	55	2735
20	58	2731
21	61	2720
22	63	2693
23	65	2666
24	67	2641
25	69	2621
26	72	2606
27	75	2613
28	77	2593
29	79	2575
30	81	2556
31	83	2539
32	86	2522
33	88	2511
34	91	2509
35	93	2492
36	95	2477
37	97	2465
38	99	2451
39	101	2439
40	103	2431
41	106	2429
42	108	2422
43	111	2419
44	113	2407
45	115	2396
46	117	2388
47	120	2386
48	123	2391
49	125	2385
50	127	2375
51	129	2367
52	132	2360
53	134	2352
54	136	2348
55	139	2352
56	141	2348
57	145	2360
58	147	2353
59	149	2347
60	152	2344
61	154	2344
62	157	2339
63	159	2333
64	161	2325
65	163	2319
66	166	2312
67	168	2309
68	171	2311
69	173	2307
70	176	2304
71	178	2298
72	180	2290
73	182	2283
74	185	2290
75	188	2289
76	190	2286
77	193	2283
78	195	2277
79	197	2273
80	200	2271
81	202	2271
82	205	2270
83	207	2266
84	210	2262
85	212	2258
86	214	2254
87	217	2257
88	220	2255
89	222	2251
90	225	2249
91	227	2243
92	229	2237
93	232	2236
94	235	2240
95	237	2238
96	240	2235
97	242	2233
98	245	2229
99	247	2226
100	250	2229
101	252	2226
102	255	2222
103	257	2218
104	259	2213
105	261	2208
106	264	2206
107	267	2207
108	269	2203
109	271	2200
110	274	2196
111	276	2191
112	278	2187
113	281	2191
114	284	2189
115	286	2185
116	289	2183
117	291	2177
118	293	2172
119	296	2172
120	298	2171
121	301	2168
122	303	2164
123	305	2160
124	307	2155
125	310	2151
126	312	2150
127	315	2147
128	317	2143
129	319	2138
130	321	2133
131	323	2129
132	326	2125
133	328	2125
134	331	2122
135	333	2119
136	336	2117
137	338	2113
138	340	2108
139	342	2105
140	345	2104
141	347	2101
142	350	2098
143	352	2094
144	354	2089
145	356	2085
146	358	2082
147	361	2082
148	364	2079
149	366	2077
150	368	2073
151	371	2070
152	373	2066
153	375	2065
154	378	2064
155	380	2060
156	383	2057
157	385	2053
158	387	2049
159	389	2045
160	392	2044
161	394	2042
162	397	2039
163	399	2036
164	401	2033
165	403	2029
166	406	2027
167	409	2029
168	412	2026
169	414	2023
170	416	2020
171	418	2016
172	420	2012
173	423	2011
174	426	2008
175	428	2005
176	430	2003
177	432	1999
178	435	1995
179	437	1992
180	439	1990
181	442	1988
182	444	1985
183	446	1982
184	449	1978
185	451	1974
186	453	1970
187	455	1969
188	458	1965
189	460	1962
190	462	1959
191	464	1955
192	466	1951
193	468	1948
194	471	1946
195	473	1943
196	476	1940
197	478	1937
198	480	1933
199	482	1930
200	485	1928
201	487	1927
202	490	1925
203	492	1923
204	495	1920
205	497	1917
206	499	1913
207	502	1911
208	504	1910
209	507	1907
210	509	1905
211	511	1902
212	513	1898
213	515	1894
214	518	1894
215	521	1891
216	523	1889
217	525	1886
218	527	1882
219	530	1879
220	532	1878
221	535	1877
222	538	1874
223	540	1871
224	542	1868
225	544	1865
226	547	1862
227	549	1860
228	552	1858
229	554	1857
230	556	1853
231	559	1850
232	561	1847
233	563	1844
234	566	1844
235	569	1844
236	572	1842
237	574	1840
238	577	1838
239	579	1835
240	582	1834
241	585	1832
242	587	1830
243	589	1827
244	592	1825
245	594	1822
246	597	1821
247	600	1820
248	602	1818
249	605	1817
250	608	1814
251	610	1811
252	613	1812
253	616	1810
254	619	1808
255	621	1806
256	623	1803
257	625	1800
258	628	1798
259	631	1797
260	633	1794
261	636	1792
262	638	1789
263	640	1786
264	642	1783
265	645	1781
266	648	1779
267	650	1776
268	652	1774
269	654	1770
270	657	1768
271	659	1766
272	662	1764
273	665	1762
274	667	1759
275	669	1756
276	671	1753
277	674	1750
278	676	1748
279	679	1746
280	681	1744
281	683	1741
282	686	1738
283	688	1735
284	690	1732
285	693	1731
286	695	1728
287	698	1726
288	700	1722
289	702	1719
290	704	1716
291	707	1714
292	709	1713
293	712	1710
294	714	1706
295	716	1703
296	718	1700
297	720	1697
298	723	1695
299	725	1693
300	727	1690
301	730	1687
302	732	1684
303	734	1681
304	736	1679
305	739	1677
306	742	1676
307	745	1673
308	747	1671
309	749	1668
310	751	1665
311	754	1664
312	758	1663
313	760	1662
314	763	1659
315	765	1656
316	767	1653
317	769	1650
318	772	1649
319	774	1646
320	776	1643
321	779	1640
322	781	1637
323	783	1634
324	785	1631
325	788	1630
326	790	1627
327	793	1624
328	795	1621
329	797	1618
330	799	1615
331	801	1613
332	804	1611
333	806	1608
334	808	1605
335	810	1602
336	813	1599
337	815	1596
338	817	1593
339	819	1591
340	821	1588
341	824	1585
342	826	1582
343	828	1579
344	830	1577
345	832	1574
346	835	1571
347	837	1569
348	839	1566
349	841	1563
350	843	1560
351	846	1557
352	848	1554
353	850	1552
354	853	1550
355	855	1547
356	857	1544
357	859	1541
358	861	1538
359	863	1535
360	866	1533
361	868	1530
362	870	1528
363	872	1525
364	875	1522
365	877	1520
366	879	1517
367	882	1514
368	884	1512
369	886	1509
370	888	1506
371	891	1504
372	893	1501
373	895	1498
374	897	1496
375	900	1494
376	902	1491
377	905	1489
378	907	1486
379	909	1483
380	911	1480
381	913	1478
382	916	1476
383	918	1473
384	920	1470
385	922	1467
386	924	1465
387	927	1462
388	929	1459
389	931	1457
390	934	1454
391	936	1451
392	938	1449
393	940	1446
394	942	1443
395	944	1440
396	946	1438
397	949	1435
398	951	1432
399	953	1430
400	955	1427
401	957	1424
402	960	1422
403	963	1420
404	965	1418
405	968	1416
406	970	1414
407	972	1411
408	975	1409
409	977	1406
410	980	1404
411	982	1401
412	984	1398
413	986	1396
414	988	1393
415	990	1390
416	992	1388
417	995	1386
418	997	1383
419	1000	1381
420	1002	1378
421	1004	1375
422	1006	1373
423	1008	1370
424	1011	1368
425	1013	1366
426	1016	1363
427	1018	1361
428	1021	1358
429	1023	1356
430	1025	1354
431	1028	1351
432	1030	1348
433	1032	1346
434	1034	1343
435	1036	1340
436	1038	1338
437	1041	1335
438	1043	1333
439	1045	1330
440	1047	1328
441	1049	1325
442	1052	1322
443	1054	1319
444	1056	1317
445	1058	1315
446	1060	1312
447	1063	1309
448	1065	1307
